index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
45	aip-yiweilu	fc	0.005	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt50	job_045_bp_b0005_vconv_svgg_k1.sh
46	aip-boyuwang	fc	0.005	ConvNetBN	VGG13BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K3_ce5_tgt50	job_046_bp_b0005_vconv_svgg_k3.sh
47	aip-boyuwang	fc	0.005	ConvNetBN	VGG13BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K10_ce5_tgt50	job_047_bp_b0005_vconv_svgg_k10.sh
48	aip-yiweilu	fc	0.005	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt50	job_048_bp_b0005_vconv_svgg_k30.sh
49	aip-boyuwang	fc	0.005	ResNet20BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt10	job_049_bp_b0005_vr20_sconv_k1.sh
50	aip-boyuwang	fc	0.005	ResNet20BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt10	job_050_bp_b0005_vr20_sconv_k3.sh
51	aip-yiweilu	fc	0.005	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt10	job_051_bp_b0005_vr20_sconv_k10.sh
52	aip-boyuwang	fc	0.005	ResNet20BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt10	job_052_bp_b0005_vr20_sconv_k30.sh
53	aip-boyuwang	fc	0.005	ResNet20BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt10	job_053_bp_b0005_vr20_sr20_k1.sh
54	aip-yiweilu	fc	0.005	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt10	job_054_bp_b0005_vr20_sr20_k3.sh
