dataset,model,class_pair,target_idx,candidate_count,spearman_neg_M_vs_exact,pearson_neg_M_vs_exact,spearman_R_vs_exact,pearson_R_vs_exact,spearman_A_vs_exact,pearson_A_vs_exact,spearman_head_vs_exact,pearson_head_vs_exact,spearman_beta0_vs_exact,pearson_beta0_vs_exact,spearman_beta1_vs_exact,pearson_beta1_vs_exact
CIFAR10,ResNet20BN,frog-airplane,2041,5000,0.9082235156569405,0.4961215856157166,-0.5221061182978364,-0.33228511427188917,0.9998395925582056,0.9999958843788415,0.9905420238456809,0.9513471356227481,0.4107867814234712,0.18615351991925955,0.719844953369798,0.8027691840407629
CIFAR10,VGG13BN,dog-bird,630,5000,0.8112167339241386,0.4225279675550153,-0.36904375655546434,-0.1439436099945897,0.9993800670968518,0.99995386511022,0.8832823774112949,0.8716348431506346,0.4892313977132559,0.3284338603399194,0.7418889339955573,0.8479610207103544
CIFAR10,VGG13BN,dog-bird,409,5000,0.8812644842797297,0.4879268557587351,-0.5111652953991477,-0.27007323014162965,0.9999263552434347,0.9999852452045158,0.9758646223305848,0.8911788616526587,0.42245864569248487,0.27087035477213056,0.7649491049683229,0.8442879678933118
CIFAR10,VGG13BN,dog-bird,2270,5000,0.8553995789885127,0.43700187112715716,-0.26650254231449777,-0.06840876560736014,0.9996141200541103,0.9999827634810698,0.9274717966508718,0.878825225015861,0.5535804950205058,0.3591716182343967,0.767665598482624,0.8196885374309741
CIFAR10,VGG13BN,dog-bird,9870,5000,0.8704632542794213,0.4578847889245102,-0.5454557410604114,-0.2510022948237658,0.9999266851042825,0.9999798637448807,0.9689571257022849,0.9063123555086507,0.40936232309449283,0.28416088338271894,0.7530986980599479,0.866017225234065
CIFAR10,VGG13BN,dog-bird,1656,5000,0.8508524570145187,0.4425255985972717,-0.4073018522218493,-0.16569657344552474,0.9997788274175734,0.9999779064475902,0.925513675068547,0.8789947667137278,0.4744051000962039,0.31472058865818375,0.74016850218274,0.8374615488424325
CIFAR10,VGG13BN,dog-bird,5022,5000,0.8656411261551961,0.44373202145077784,-0.5223497083945247,-0.24196282186124246,0.9996175638429942,0.9999560666425723,0.9528253971118837,0.8730474698929853,0.4289487924802464,0.27369536811273226,0.7447945395856567,0.8619521315341092
CIFAR10,VGG13BN,dog-bird,9090,5000,0.8120121621639748,0.41131468692641504,-0.3135322404763391,-0.09734040080346743,0.9992626673356484,0.9999459522886742,0.9034651605546062,0.9032523692999783,0.5172851998594079,0.3438884132805379,0.7466624330984972,0.8380917737056344
CIFAR10,VGG13BN,dog-bird,6033,5000,0.8523865263239183,0.45558417292368314,-0.4879383645169556,-0.22842808366670103,0.9994723394997884,0.9999530415601526,0.9355176575807063,0.8976430566789673,0.4563276646211065,0.3032972177269758,0.7613729600869183,0.8650262108184551
CIFAR10,VGG13BN,dog-bird,7940,5000,0.8795735133320502,0.45897359728228293,-0.49119085505142285,-0.21550411661131874,0.9997627258589864,0.9999780190695062,0.9658253760410149,0.9113785630497764,0.45963708792148344,0.3081784420186906,0.7495451621098064,0.8562780827094862
CIFAR10,VGG13BN,dog-bird,9731,5000,0.8621851506200985,0.44900987879282006,-0.45425846156304506,-0.20162910149803748,0.9998509098616827,0.9999774580415338,0.9535638756785549,0.8638133143678548,0.453066676586667,0.2943924875357948,0.74601913449867,0.8412898192730363
CIFAR10,VGG13BN,frog-airplane,2783,5000,0.8581120844136727,0.38760488762947515,-0.6171332698361419,-0.2501134428797662,0.9983558656799283,0.9999527856262527,0.9125794602471783,0.800175268450088,0.3279455668458226,0.21792250312610822,0.6171177584767102,0.8795715797546152
CIFAR10,VGG13BN,frog-airplane,2507,5000,0.5761774558427547,0.25419486065967456,-0.309243196390837,-0.09607914432733611,0.9950171731848532,0.9998368796661595,0.6000254318410172,0.8091633157680764,0.31347932242717286,0.20120182459341815,0.525730526309221,0.833627594076437
CIFAR10,VGG13BN,frog-airplane,6738,5000,0.6831488149427436,0.23085657481616734,-0.3968151877091782,-0.08837975265937051,0.9900673635836901,0.9997756648754821,0.7225857122954285,0.9007944312732329,0.3623348380773934,0.20128774426656248,0.5340472150578885,0.8550745726107302
CIFAR10,VGG13BN,frog-airplane,5787,5000,0.8482036154248583,0.4113970950309784,-0.5081690052349563,-0.22300589206868643,0.9972155322348368,0.9999372063844755,0.9031730298765973,0.7661678454394647,0.3935597398063895,0.227213121564763,0.6344152181126086,0.8277686419837034
CIFAR10,VGG13BN,frog-airplane,7815,5000,0.8900329846840408,0.42951496594390737,-0.6836958766918351,-0.2901750901028877,0.9985801750210689,0.9999725851512126,0.9546960171638404,0.8718122131429951,0.32934117882145547,0.2307959893325141,0.642439374401575,0.8890387532537332
CIFAR10,VGG13BN,frog-airplane,5074,5000,0.8726104072823014,0.3483870587779557,-0.6303432625577304,-0.22624258142093703,0.998551641898677,0.9999685528790294,0.935996979071879,0.9128623602756167,0.3280243872649754,0.18767569665910308,0.6003096932283876,0.869162935332546
CIFAR10,VGG13BN,frog-airplane,7356,5000,0.8621074467223695,0.3549794185827606,-0.5747661325156174,-0.18232723900683756,0.9979365123609591,0.999847946543212,0.9222745908011183,0.8184187105532214,0.373466743891633,0.2528534071054653,0.6144646767200815,0.8712455248196331
CIFAR10,VGG13BN,frog-airplane,8267,5000,0.8923555187290536,0.42996347325291173,-0.6449549268051549,-0.2727652547279186,0.9987474705698705,0.9999760485695846,0.9571821120792843,0.9029847571683218,0.3575471197418847,0.24772893447501698,0.6459310660932426,0.8832535504474204
CIFAR10,VGG13BN,frog-airplane,2264,5000,0.7059717738247574,0.3559609975354789,-0.39449813612832935,-0.16016609366628287,0.9952225450324997,0.9997927304594162,0.7505888345035533,0.7028204213620892,0.40182968923483153,0.26690204869549405,0.6162290199131608,0.8617118625949836
CIFAR10,VGG13BN,frog-airplane,6481,5000,0.8908134078832952,0.41605774308994425,-0.6306042697807088,-0.24709395946863022,0.9984477654414281,0.9999492749217056,0.9556232703529307,0.8650299569460567,0.36814400058175994,0.2540614044011052,0.63187300073092,0.8764162900456947
CIFAR100,ResNet18BN,sea-willow_tree,8354,500,0.8883524174096696,0.4518693595267953,0.22260165840663362,-0.03169484223707748,0.9998202392723297,0.9998832275539948,0.9469085236340944,0.9553173277803225,0.6941480565922263,0.285946743141873,0.840940707762831,0.709961623350783
CIFAR100,ResNet18BN,sea-willow_tree,5303,500,0.9288919395677582,0.5513957791958116,0.058122760491041967,-0.09707878002018804,0.999936063741187,0.9998966227921476,0.9796869907479628,0.9694079903051384,0.6306769227076907,0.3324989365013711,0.827314509258037,0.7475743733606919
CIFAR100,ResNet18BN,sea-willow_tree,1132,500,0.9102545210180839,0.5148131579761411,0.14103368413473655,-0.012532714429760802,0.9998108552388818,0.9994132213175515,0.9662845691382763,0.9082047403270452,0.6682246888987555,0.3555341698564191,0.847562910251641,0.7505479853238949
CIFAR100,ResNet18BN,sea-willow_tree,7005,500,0.9130112680450722,0.553215295377619,0.18537242148968594,-0.01152778897327104,0.9997607670201062,0.9996452707568119,0.9678513914055655,0.9558151705531185,0.6791678686714746,0.37333352995507063,0.8526629306517225,0.7523130640260819
CIFAR100,ResNet18BN,sea-willow_tree,8030,500,0.9209912999651999,0.6182918408426994,0.20712418849675399,0.07004707800378902,0.99992471169704,0.9997080363313195,0.9696545666182664,0.8995314147290682,0.7169981639926559,0.4706251512238643,0.8804636818547273,0.7929312864623933
CIFAR100,ResNet18BN,sea-willow_tree,6836,500,0.9321407845631382,0.5797745655551548,0.12714031656126623,-0.053350607023902555,0.9999464077817751,0.9998414189887054,0.980950547802191,0.9348844043948259,0.6730251881007524,0.37678531865499765,0.8600934563738254,0.7614960493306973
CIFAR100,ResNet18BN,sea-willow_tree,579,500,0.9136625346501386,0.619394466454379,0.10987618350473402,0.023739632282121382,0.9999297757157332,0.9997270657390239,0.9615491581966326,0.870846413971082,0.6804524498097991,0.45679760300102074,0.8677978711914848,0.7941603106363214
CIFAR100,ResNet18BN,sea-willow_tree,411,500,0.9259900399601597,0.544044429342529,0.11068364273457093,-0.043611001466450354,0.9998104232280459,0.9997717138279676,0.9704763299053195,0.9625475920934996,0.6517083028332112,0.35408889105126423,0.8362499369997479,0.7500449163061177
CIFAR100,ResNet18BN,sea-willow_tree,2612,500,0.9122361609446435,0.5679973044207169,0.11854828219312875,0.01447486020602289,0.9997520309962227,0.9995391896660024,0.9614072696290784,0.8379273604843607,0.6626630026520106,0.41551119174986484,0.8504939939759758,0.7778067544724524
CIFAR100,ResNet18BN,sea-willow_tree,5850,500,0.9288376033504133,0.5669368622060386,0.165811383245533,-0.0026170941435887194,0.9999306157174698,0.9999179452541921,0.9795348301393204,0.9632738413204894,0.6999960159840639,0.3953706543182495,0.866994731978928,0.7655793491656026
SVHN,ConvNetBN,9-2,23519,4659,0.844824932371108,0.4271005168574048,-0.44455069297853916,-0.22914369865397943,0.9562199855669002,0.998432023786326,0.8736212581030274,0.9328376892452566,0.45972753377138076,0.2191818594620725,0.6262366170692316,0.8064236889697105
SVHN,ConvNetBN,9-2,14692,4659,0.8837545104361485,0.44878175502077516,-0.42402935212387627,-0.22956256876277073,0.9725762968869939,0.9989513581732861,0.9123466715315968,0.9534695668056843,0.486824073905649,0.22965935760973633,0.6578243531689618,0.7967798448572999
SVHN,ConvNetBN,9-2,21188,4659,0.8412842013858502,0.39635566582450454,-0.32167935442072537,-0.1398623409091992,0.9653591319540915,0.9989044101800981,0.869346394748746,0.9288669946629708,0.5080223196055026,0.2545724191636478,0.6425514605226206,0.791758138583014
SVHN,ConvNetBN,9-2,606,4659,0.8052695957643428,0.4018670455958401,-0.3191381757042619,-0.1699407186730472,0.9528693357176121,0.9989849280032616,0.830916097056853,0.9383765085246117,0.47056307725592084,0.22879614651697927,0.6112503382228504,0.7825312741374288
SVHN,ConvNetBN,9-2,24675,4659,0.805572247815897,0.37619809642104324,-0.2879313261115038,-0.12887334175104773,0.9480046359770845,0.9983982049536102,0.8266602874757322,0.9107162454391382,0.49484236457327563,0.2424314246175501,0.6191047795887923,0.7854387984141535
SVHN,ConvNetBN,9-2,25983,4659,0.7978171406440018,0.41208626585811325,-0.2690215231388006,-0.16302525218176123,0.9683979393656326,0.9993038528622504,0.8263002039550651,0.9482613522526924,0.5060168683361262,0.24449683211849316,0.6430631287609829,0.7858316098792718
SVHN,ConvNetBN,9-2,24921,4659,0.8499630381091584,0.4312749765092073,-0.485853564842563,-0.2796762405931366,0.9638374009670376,0.9987954984925691,0.88016606853691,0.9296639450395991,0.4437462378757052,0.18269183915842113,0.6391644241298061,0.8170640593597244
SVHN,ConvNetBN,9-2,3478,4659,0.7928521012491229,0.425408992381944,-0.37179561791318333,-0.22660494584847313,0.9587024934263642,0.9986553361692689,0.8181890079842757,0.9333980773039907,0.4651880985633652,0.2186317486868527,0.6303092939363591,0.8048338739382992
SVHN,ConvNetBN,9-2,11954,4659,0.8683552162451661,0.4461710227963814,-0.49601989392205476,-0.2606628967484459,0.9678935279155919,0.9988455325741603,0.8988531003011379,0.9393889507379846,0.44860980153697405,0.2223540016163778,0.6475657564024595,0.8246299046161092
SVHN,ConvNetBN,9-2,445,4659,0.769092363076763,0.4143811916317476,-0.3678373978337437,-0.2202756804149646,0.9583005454509906,0.9989046380975077,0.7992042943568284,0.9322091300258321,0.4459212738409635,0.21521401914137106,0.615095815148023,0.8057570065234922
