dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.01,5000,50,35,0.7,0.01
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.02,5000,100,7,0.07,0.02
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.02,5000,100,72,0.72,0.02
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.05,5000,250,34,0.136,0.05
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.05,5000,250,193,0.772,0.05
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.05,5000,250,244,0.976,0.05
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.1,5000,500,106,0.212,0.1
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.1,5000,500,355,0.71,0.1
