dataset,class_pair,target_id,surrogate_id,n_candidates,spearman_neg_margin_residual_dot,margin_source,cache_shard
CIFAR10,dog-bird,1547,35,5000,0.9966807771871514,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_035.npz
CIFAR10,dog-bird,1547,36,5000,0.9983764338230575,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_036.npz
CIFAR10,dog-bird,1547,37,5000,0.9964788535871544,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_037.npz
CIFAR10,dog-bird,1547,38,5000,0.9966755934030239,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_038.npz
CIFAR10,dog-bird,1547,39,5000,0.9968545955141084,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_039.npz
CIFAR10,dog-bird,1547,40,5000,0.9975047713561911,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_040.npz
CIFAR10,dog-bird,1547,41,5000,0.9971917119355337,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_041.npz
CIFAR10,dog-bird,1547,42,5000,0.9979513670940056,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_042.npz
CIFAR10,dog-bird,1547,43,5000,0.9979038098681525,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_043.npz
CIFAR10,dog-bird,1547,44,5000,0.9980367185134689,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_044.npz
CIFAR10,dog-bird,1547,45,5000,0.997725120933005,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_045.npz
CIFAR10,dog-bird,1547,46,5000,0.9966651556106064,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_046.npz
CIFAR10,dog-bird,1547,47,5000,0.9961560154622408,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_047.npz
CIFAR10,dog-bird,1547,48,5000,0.9967429512297182,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_048.npz
CIFAR10,dog-bird,1547,49,5000,0.9980817633472707,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_049.npz
CIFAR10,dog-bird,4427,0,5000,0.9961372378614897,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_000.npz
CIFAR10,dog-bird,4427,1,5000,0.9969119577724042,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_001.npz
CIFAR10,dog-bird,4427,2,5000,0.996787653367429,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_002.npz
CIFAR10,dog-bird,4427,3,5000,0.9962290498410715,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_003.npz
CIFAR10,dog-bird,4427,4,5000,0.9967693906867758,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_004.npz
CIFAR10,dog-bird,4427,5,5000,0.9968107989444321,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_005.npz
CIFAR10,dog-bird,4427,6,5000,0.9948626973625081,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_006.npz
CIFAR10,dog-bird,4427,7,5000,0.9968982644519307,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_007.npz
CIFAR10,dog-bird,4427,8,5000,0.9966074393282162,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_4427/panel_b_surrogate_008.npz
