model,attack,pair,budget,eps,seed,tags,target_idx,n_victims,sel_a,asr_a,sel_b,asr_b,gain
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,4427,4,random,25.0,dpp2,75.0,50.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,5859,4,random,100.0,dpp2,100.0,0.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,8055,4,random,100.0,dpp2,100.0,0.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,821,4,random,100.0,dpp2,100.0,0.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,8252,4,random,100.0,dpp2,100.0,0.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,843,4,random,100.0,dpp2,100.0,0.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,8730,4,random,25.0,dpp2,100.0,75.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,8954,4,random,25.0,dpp2,100.0,75.0
ConvNetBN,gradmatch,dog-cat,0.005,8,42,ce5,2034,5,random,40.0,dpp2,60.0,20.0
ConvNetBN,gradmatch,dog-cat,0.005,8,42,ce5,4375,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,gradmatch,dog-cat,0.005,8,42,ce5,5493,5,random,40.0,dpp2,80.0,40.0
ConvNetBN,gradmatch,dog-cat,0.005,8,42,ce5,5530,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,gradmatch,dog-cat,0.005,8,42,ce5,607,5,random,80.0,dpp2,80.0,0.0
ConvNetBN,gradmatch,frog-ship,0.005,8,42,ce5,132,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,frog-ship,0.005,8,42,ce5,1347,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,frog-ship,0.005,8,42,ce5,3695,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,frog-ship,0.005,8,42,ce5,73,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,frog-ship,0.005,8,42,ce5,7485,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,horse-deer,0.005,8,42,ce5,1341,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,gradmatch,horse-deer,0.005,8,42,ce5,2180,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,horse-deer,0.005,8,42,ce5,2353,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,gradmatch,horse-deer,0.005,8,42,ce5,5296,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,gradmatch,horse-deer,0.005,8,42,ce5,5414,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,gradmatch,truck-automobile,0.005,8,42,ce5,1396,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,gradmatch,truck-automobile,0.005,8,42,ce5,2477,5,random,20.0,dpp2,40.0,20.0
ConvNetBN,gradmatch,truck-automobile,0.005,8,42,ce5,261,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,gradmatch,truck-automobile,0.005,8,42,ce5,726,5,random,40.0,dpp2,40.0,0.0
ConvNetBN,gradmatch,truck-automobile,0.005,8,42,ce5,8215,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,sapa,airplane-bird,0.005,8,42,worst0.05_ce5,1083,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,airplane-bird,0.005,8,42,worst0.05_ce5,160,5,random,60.0,dpp2,80.0,20.0
ConvNetBN,sapa,airplane-bird,0.005,8,42,worst0.05_ce5,6277,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,sapa,airplane-bird,0.005,8,42,worst0.05_ce5,8956,5,random,80.0,dpp2,100.0,20.0
ConvNetBN,sapa,airplane-bird,0.005,8,42,worst0.05_ce5,9915,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,sapa,cat-truck,0.005,8,42,worst0.05_ce5,2174,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,cat-truck,0.005,8,42,worst0.05_ce5,4761,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,sapa,cat-truck,0.005,8,42,worst0.05_ce5,6579,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,cat-truck,0.005,8,42,worst0.05_ce5,9378,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,cat-truck,0.005,8,42,worst0.05_ce5,9743,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,1257,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,1547,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,4427,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,5859,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,8055,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,821,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,8252,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,843,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,8730,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.001,8,42,worst0.05_ce5_tgt70,8954,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,1257,6,random,0.0,dpp2,66.66666666666667,66.66666666666667
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,1547,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,4427,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,5859,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,8055,6,random,0.0,dpp2,66.66666666666667,66.66666666666667
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,821,6,random,0.0,dpp2,50.0,50.0
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,8252,6,random,0.0,dpp2,66.66666666666667,66.66666666666667
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,843,6,random,0.0,dpp2,33.333333333333336,33.333333333333336
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,8730,6,random,0.0,dpp2,0.0,0.0
ConvNetBN,sapa,dog-bird,0.002,8,42,worst0.05_ce5_tgt70,8954,6,random,0.0,dpp2,16.666666666666668,16.666666666666668
ConvNetBN,sapa,dog-bird,0.005,8,42,craftcropflip_worst0.05_ce5,1126,5,random,0.0,dpp2,0.0,0.0
