dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
CIFAR100,0.005,50000,500,250,0.5,standardized,graft,random,10,True,0.5,0.5,0.5,0.5,0.33333333333333337
CIFAR100,0.005,50000,500,250,0.5,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.005,50000,500,250,0.5,standardized,graft_plus,random,10,True,0.5,0.5,0.5,0.5,0.33333333333333337
CIFAR100,0.005,50000,500,250,0.5,standardized,hybrid,graft,10,True,0.7132,0.71,0.695,0.732,0.5546612930722036
CIFAR100,0.005,50000,500,250,0.5,standardized,hybrid,graft_plus,10,True,0.7496,0.75,0.732,0.771,0.5999642465274773
CIFAR100,0.005,50000,500,250,0.5,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.005,50000,500,250,0.5,standardized,hybrid,random,10,True,0.5,0.5,0.5,0.5,0.33333333333333337
CIFAR100,0.005,50000,500,250,0.5,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,exact,graft,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,exact,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,exact,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,exact,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,graft,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,graft,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,graft_plus,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,hybrid,graft,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,hybrid,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,hybrid,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.01,50000,500,500,1.0,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.02,50000,500,1000,2.0,standardized,exact,exact,0,False,nan,nan,nan,nan,nan
CIFAR100,0.02,50000,500,1000,2.0,standardized,exact,graft,0,False,nan,nan,nan,nan,nan
